trip,Q1,Q2,diff,diff pct
46-B3,9337,4604.0,-4733.0,-50.69080004284031
25-35,679,335.0,-344.0,-50.662739322533135
24-36,10304,5108.0,-5196.0,-50.42701863354038
16-24,13056,6483.0,-6573.0,-50.34466911764706
27-36,4536,2254.0,-2282.0,-50.308641975308646
23-44,223,111.0,-112.0,-50.224215246636774
16H-45,56,28.0,-28.0,-50.0
16-48A,4,2.0,-2.0,-50.0
16H-37,8,4.0,-4.0,-50.0
16-43,6,3.0,-3.0,-50.0
16-49,16,8.0,-8.0,-50.0
18-45,1556,779.0,-777.0,-49.93573264781491
23-39,651,327.0,-324.0,-49.76958525345622
24-45,23808,12055.0,-11753.0,-49.36575940860215
18-B3,6350,3227.0,-3123.0,-49.181102362204726
41-46,54406,27677.0,-26729.0,-49.1287725618498
23-43,397,202.0,-195.0,-49.1183879093199
16-33,94,48.0,-46.0,-48.93617021276596
29A-37,348,178.0,-170.0,-48.85057471264368
27-46,4203,2156.0,-2047.0,-48.70330716155127
16H-24,13850,7106.0,-6744.0,-48.69314079422383
17-38,101,52.0,-49.0,-48.51485148514851
18-34A,2134,1104.0,-1030.0,-48.26616682286786
41-44,34982,18103.0,-16879.0,-48.25052884340518
29A-33,4410,2284.0,-2126.0,-48.20861678004535
39-50,118051,61280.0,-56771.0,-48.09023218778324
23-35,902,469.0,-433.0,-48.00443458980045
36-37,33768,17638.0,-16130.0,-47.76711679696754
23-42,492,257.0,-235.0,-47.764227642276424
31-36,37729,19720.0,-18009.0,-47.732513451191394
23-25A,112394,58751.0,-53643.0,-47.72763670658576
33-34A,329470,172237.0,-157233.0,-47.72300968221689
26-35,3168,1661.0,-1507.0,-47.56944444444444
29-37,499,262.0,-237.0,-47.49498997995992
40-41,36339,19125.0,-17214.0,-47.37059357714852
23-26,41661,21950.0,-19711.0,-47.31283454549819
41-43,50758,26778.0,-23980.0,-47.24378423105718
23-40,553,292.0,-261.0,-47.19710669077758
35-49,1750,927.0,-823.0,-47.02857142857143
39-49,13524,7166.0,-6358.0,-47.012718130730555
45-49,13148,6968.0,-6180.0,-47.00334651658047
39-41,79879,42438.0,-37441.0,-46.87214411797844
36-B2,137,73.0,-64.0,-46.715328467153284
15-B3,34041,18139.0,-15902.0,-46.71425633794542
33-B3,5075,2709.0,-2366.0,-46.62068965517241
26-41,1165,623.0,-542.0,-46.52360515021459
39-46,59660,32025.0,-27635.0,-46.3208179684881
18-32,285,153.0,-132.0,-46.31578947368421
26-45,6985,3751.0,-3234.0,-46.2992125984252
23-24,322670,173327.0,-149343.0,-46.2835094678774
20-46,158,85.0,-73.0,-46.20253164556962
26-49,856,463.0,-393.0,-45.91121495327103
21-46,427,231.0,-196.0,-45.90163934426229
24-34A,48571,26302.0,-22269.0,-45.84834572069754
23-34,1161,632.0,-529.0,-45.564168819982775
18-49,178,97.0,-81.0,-45.50561797752809
33-41,10797,5887.0,-4910.0,-45.47559507270538
30-36,8445,4613.0,-3832.0,-45.37596210775607
35-B3,6140,3358.0,-2782.0,-45.30944625407166
16-34A,84,46.0,-38.0,-45.23809523809524
38-B2,42,23.0,-19.0,-45.23809523809524
45-47,18808,10305.0,-8503.0,-45.20948532539345
29-33,4953,2720.0,-2233.0,-45.08378760347264
17-35,417,231.0,-186.0,-44.60431654676259
23-25,519088,287873.0,-231215.0,-44.54254384613014
39-48,7564,4199.0,-3365.0,-44.48704389212057
16H-49,9,5.0,-4.0,-44.44444444444444
34A-49,1023,569.0,-454.0,-44.37927663734115
18-23,50161,27924.0,-22237.0,-44.33125336416738
41-49,5440,3029.0,-2411.0,-44.31985294117647
25-B1,5166,2877.0,-2289.0,-44.3089430894309
15-24,436145,242938.0,-193207.0,-44.298799711105254
23-31,10223,5699.0,-4524.0,-44.25315465127653
23-41,475,265.0,-210.0,-44.21052631578947
25A-31,4999,2789.0,-2210.0,-44.208841768353665
15-32,2285,1275.0,-1010.0,-44.201312910284464
B2-B3,53637,30001.0,-23636.0,-44.06659582004959
24-44,1971,1104.0,-867.0,-43.987823439878234
15-33,2470,1384.0,-1086.0,-43.967611336032384
22-29A,219,123.0,-96.0,-43.83561643835616
16-23,8907,5005.0,-3902.0,-43.80824070955428
16H-35,16,9.0,-7.0,-43.75
18-31,4299,2429.0,-1870.0,-43.49848802046988
47-B2,23,13.0,-10.0,-43.47826086956522
45-B2,534,302.0,-232.0,-43.445692883895134
17-47,30,17.0,-13.0,-43.333333333333336
33-35,61190,34756.0,-26434.0,-43.199869259682956
27-35,4086,2323.0,-1763.0,-43.147332354380815
19-49,116,66.0,-50.0,-43.103448275862064
44-46,276884,157762.0,-119122.0,-43.022348709206746
16H-18,23042,13145.0,-9897.0,-42.95200069438417
16H-17,131880,75239.0,-56641.0,-42.948892932969365
27-45,10900,6221.0,-4679.0,-42.92660550458716
17-43,138,79.0,-59.0,-42.7536231884058
24-41,3820,2190.0,-1630.0,-42.67015706806283
17-B3,12201,7023.0,-5178.0,-42.439144332431766
29-36,1501,864.0,-637.0,-42.4383744170553
21-41,175,101.0,-74.0,-42.285714285714285
25-B3,46803,27045.0,-19758.0,-42.215242612653036
33-38,23446,13583.0,-9863.0,-42.06687707924593
16-B3,869,505.0,-364.0,-41.88722669735328
29A-B1,158,92.0,-66.0,-41.77215189873418
24-35,8984,5242.0,-3742.0,-41.65182546749777
34A-38,50411,29465.0,-20946.0,-41.55045525778104
28-48,390,228.0,-162.0,-41.53846153846154
45-50,60200,35247.0,-24953.0,-41.45016611295681
18-36,367,215.0,-152.0,-41.41689373297003
47-48,136671,80127.0,-56544.0,-41.37234673046952
32-46,4646,2726.0,-1920.0,-41.325871717606546
24-26,132602,77942.0,-54660.0,-41.22109772099968
32-B3,3639,2142.0,-1497.0,-41.13767518549052
34A-39,26014,15334.0,-10680.0,-41.05481663719536
24-43,3420,2017.0,-1403.0,-41.0233918128655
41-B2,66,39.0,-27.0,-40.909090909090914
24-48A,3138,1858.0,-1280.0,-40.79031230082855
36-B3,6793,4024.0,-2769.0,-40.76254968349772
33-34,58831,35006.0,-23825.0,-40.49735683568187
39-45,188073,111922.0,-76151.0,-40.49012883295316
28-33,6090,3625.0,-2465.0,-40.476190476190474
24-48,2138,1278.0,-860.0,-40.2245088868101
56-59,48083,28772.0,-19311.0,-40.16180354803153
49-50,1236066,740122.0,-495944.0,-40.12277661548817
34A-B3,34998,20958.0,-14040.0,-40.11657809017658
45-48,16115,9655.0,-6460.0,-40.086875581756125
16-17,126220,75648.0,-50572.0,-40.06655046743781
16H-48A,5,3.0,-2.0,-40.0
22-48A,50,30.0,-20.0,-40.0
18-25A,2493,1496.0,-997.0,-39.99197753710389
27-34A,24944,14985.0,-9959.0,-39.92543296985247
23-47,121,73.0,-48.0,-39.66942148760331
16H-31,817,493.0,-324.0,-39.657282741738065
21-44,96,58.0,-38.0,-39.58333333333333
18-22,4265,2584.0,-1681.0,-39.41383352872216
21B-36,170,103.0,-67.0,-39.411764705882355
43-46,100939,61226.0,-39713.0,-39.3435639346536
18-35,346,210.0,-136.0,-39.30635838150289
17-34A,1634,992.0,-642.0,-39.290085679314565
24-25,2225220,1350972.0,-874248.0,-39.28816027179335
17-23,81075,49238.0,-31837.0,-39.268578476719085
46-47,64352,39143.0,-25209.0,-39.17360765788165
47-49,98494,59965.0,-38529.0,-39.118118870184986
25A-33,1040,634.0,-406.0,-39.03846153846154
18-50,1335,814.0,-521.0,-39.02621722846442
33-B1,82,50.0,-32.0,-39.02439024390244
27-49,1463,893.0,-570.0,-38.961038961038966
B1-B3,516047,315217.0,-200830.0,-38.91699787034902
25A-44,90,55.0,-35.0,-38.88888888888889
19-23,77950,47710.0,-30240.0,-38.794098781270044
17-36,364,223.0,-141.0,-38.73626373626374
26-34A,16075,9857.0,-6218.0,-38.68118195956454
18-42,150,92.0,-58.0,-38.666666666666664
32-45,12378,7604.0,-4774.0,-38.568427855873324
21B-32,148,91.0,-57.0,-38.513513513513516
17-39,226,139.0,-87.0,-38.49557522123894
21B-33,369,227.0,-142.0,-38.482384823848236
22-46,107,66.0,-41.0,-38.31775700934579
23-27,57587,35551.0,-22036.0,-38.26558077343845
17-18,280530,173291.0,-107239.0,-38.22728406943999
25A-B3,62571,38689.0,-23882.0,-38.16784133224657
23-32,864,535.0,-329.0,-38.0787037037037
33-39,26402,16349.0,-10053.0,-38.07666085902583
24-47,907,562.0,-345.0,-38.0374862183021
15-22,11918,7388.0,-4530.0,-38.0097331767075
18-48,103,64.0,-39.0,-37.86407766990291
28-36,1917,1193.0,-724.0,-37.76734480959833
16-18,22791,14205.0,-8586.0,-37.672765565354744
B1-B2,195839,122064.0,-73775.0,-37.67125036381926
20-23,56787,35412.0,-21375.0,-37.640657192667334
17-31,8047,5019.0,-3028.0,-37.62893003603828
18-19,236502,147659.0,-88843.0,-37.56543285046215
57A-59,18636,11637.0,-6999.0,-37.556342562781715
20-24,56536,35378.0,-21158.0,-37.42394226687421
35-50,12797,8008.0,-4789.0,-37.42283347659608
25A-34,418,262.0,-156.0,-37.32057416267943
30-49,400,251.0,-149.0,-37.25
24-32,6352,3991.0,-2361.0,-37.16939546599497
16-22,463,291.0,-172.0,-37.14902807775378
16H-25A,426,268.0,-158.0,-37.08920187793427
16H-22,383,241.0,-142.0,-37.0757180156658
46-50,275672,173514.0,-102158.0,-37.057807829594594
21-24,117869,74194.0,-43675.0,-37.05384791590664
46-48,83354,52520.0,-30834.0,-36.99162607673297
17-48A,157,99.0,-58.0,-36.94267515923567
19-31,3220,2033.0,-1187.0,-36.86335403726708
26-32,2480,1566.0,-914.0,-36.854838709677416
32-34A,188778,119312.0,-69466.0,-36.79772007331363
21B-45,549,347.0,-202.0,-36.79417122040073
48-49,56822,35947.0,-20875.0,-36.73753123790081
23-B2,7354,4655.0,-2699.0,-36.70111503943432
24-42,3696,2340.0,-1356.0,-36.688311688311686
16H-B1,537,340.0,-197.0,-36.6852886405959
26-B3,4822,3054.0,-1768.0,-36.66528411447532
19-24,80238,50842.0,-29396.0,-36.63600787656721
35-38,141972,89981.0,-51991.0,-36.620601245315974
23-29,6592,4179.0,-2413.0,-36.604975728155345
19-B3,15106,9582.0,-5524.0,-36.56825102608235
16H-25,1621,1030.0,-591.0,-36.4589759407773
24-40,4135,2628.0,-1507.0,-36.44498186215236
30-B1,118,75.0,-43.0,-36.440677966101696
18-24,59012,37549.0,-21463.0,-36.370568697891954
20-34,146,93.0,-53.0,-36.3013698630137
24-B1,1941,1237.0,-704.0,-36.26996393611541
50-B2,648,413.0,-235.0,-36.26543209876543
41-50,35378,22561.0,-12817.0,-36.22872971903443
23-33,1662,1063.0,-599.0,-36.040914560770155
47-50,488561,312657.0,-175904.0,-36.00451120740297
25A-48,100,64.0,-36.0,-36.0
24-39,5145,3298.0,-1847.0,-35.89893100097182
19-44,39,25.0,-14.0,-35.8974358974359
17-24,113091,72549.0,-40542.0,-35.84900655224554
44-45,1102990,708019.0,-394971.0,-35.80911884967225
23-B3,24219,15555.0,-8664.0,-35.77356620834882
27-33,8690,5585.0,-3105.0,-35.7307249712313
20-48,56,36.0,-20.0,-35.714285714285715
35-39,99121,63794.0,-35327.0,-35.64027804400682
18-20,63108,40642.0,-22466.0,-35.59929010585029
24-31,72427,46657.0,-25770.0,-35.58065362364864
19-35,259,167.0,-92.0,-35.521235521235525
42-46,66086,42663.0,-23423.0,-35.44321036225524
23-B1,6435,4157.0,-2278.0,-35.4001554001554
21-45,1084,701.0,-383.0,-35.33210332103321
32-41,3882,2517.0,-1365.0,-35.16228748068006
25A-35,444,288.0,-156.0,-35.13513513513514
20-45,373,242.0,-131.0,-35.120643431635386
34A-46,5453,3539.0,-1914.0,-35.099944984412254
17-49,191,124.0,-67.0,-35.07853403141361
46-49,57497,37336.0,-20161.0,-35.064438144598846
33-49,1543,1002.0,-541.0,-35.06156837329877
25-B2,6190,4026.0,-2164.0,-34.95961227786753
24-B3,21503,13998.0,-7505.0,-34.90210668278845
