trip,Q1,Q2,diff,diff pct
29A-B1,14,28.0,14.0,100.0
48A-B2,1,2.0,1.0,100.0
16-32,2,4.0,2.0,100.0
20-39,10,20.0,10.0,100.0
50-B2,7,14.0,7.0,100.0
21-47,2,4.0,2.0,100.0
34A-B2,5,10.0,5.0,100.0
16H-48A,1,2.0,1.0,100.0
21B-37,3,6.0,3.0,100.0
20-41,41,82.0,41.0,100.0
20-B2,9,18.0,9.0,100.0
22-38,2,4.0,2.0,100.0
30-43,45,91.0,46.0,102.22222222222221
22-45,50,104.0,54.0,108.0
29-34,68,142.0,74.0,108.8235294117647
25-47,9,19.0,10.0,111.11111111111111
31-B2,8,17.0,9.0,112.5
17-29,108,232.0,124.0,114.81481481481481
20-34,6,13.0,7.0,116.66666666666667
29-49,24,53.0,29.0,120.83333333333333
21B-47,8,18.0,10.0,125.0
29-47,35,79.0,44.0,125.71428571428571
34A-47,93,210.0,117.0,125.80645161290323
29A-32,171,400.0,229.0,133.91812865497076
22-B2,106,261.0,155.0,146.22641509433961
19-47,2,5.0,3.0,150.0
22-39,23,59.0,36.0,156.52173913043478
16-50,7,18.0,11.0,157.14285714285714
20-33,8,21.0,13.0,162.5
21B-B2,40,106.0,66.0,165.0
25-48,6,16.0,10.0,166.66666666666669
21-34,7,19.0,12.0,171.42857142857142
21-48,4,11.0,7.0,175.0
22-47,4,11.0,7.0,175.0
26-47,17,47.0,30.0,176.47058823529412
16-41,9,25.0,16.0,177.77777777777777
34-47,293,828.0,535.0,182.5938566552901
18-29,28,81.0,53.0,189.28571428571428
21-49,1,3.0,2.0,200.0
16-46,1,3.0,2.0,200.0
19-37,5,15.0,10.0,200.0
20-43,2,6.0,4.0,200.0
25-43,20,63.0,43.0,215.0
19-29,39,124.0,85.0,217.94871794871793
21-43,7,24.0,17.0,242.85714285714283
45-B2,1,4.0,3.0,300.0
26-B2,2,10.0,8.0,400.0
16-29A,3,17.0,14.0,466.6666666666667
19-44,1,6.0,5.0,500.0
21-44,1,8.0,7.0,700.0
16H-37,1,,,
47-B2,1,,,
16-36,10,,,
